"Experiment ID","Dataset 1","Dataset 2","Matching Rule ID","Matching Rule Threshold","Blocker ID","Precision (Train)","Recall (Train)","F1 (Train)","Precision (Test)","Recall (Test)","F1 (Test)","#corr","Duration","Reduction ratio","#blocked pairs"
"5_2_85_dbpedia_forbes","dbpedia","forbes","5","0.85","2","0.9878787878787879","0.806930693069307","0.888283378746594","0.9642857142857143","0.7714285714285715","0.8571428571428572","743","0:00:27.222","0.936183715643728","-1"
"5_2_85_dbpedia_dw","dbpedia","dw","5","0.85","2","0.9433198380566802","0.8442028985507246","0.8910133843212237","0.9222222222222223","0.8217821782178217","0.869109947643979","691","0:00:25.675","0.9367308197128408","-1"
"5_2_85_dw_forbes","dw","forbes","5","0.85","2","0.9761904761904762","0.8482758620689655","0.9077490774907749","1.0","0.8148148148148148","0.8979591836734693","1471","0:00:10.207","0.9348640852390853","-1"
"6_2_85_dbpedia_forbes","dbpedia","forbes","6","0.85","2","1.0","0.5445544554455446","0.7051282051282052","1.0","0.5714285714285714","0.7272727272727273","556","0:00:28.174","0.936183715643728","-1"
"6_2_85_dbpedia_dw","dbpedia","dw","6","0.85","2","1.0","0.7554347826086957","0.8606811145510835","1.0","0.7326732673267327","0.8457142857142858","499","0:00:26.819","0.9367308197128408","-1"
"6_2_85_dw_forbes","dw","forbes","6","0.85","2","1.0","0.7586206896551724","0.8627450980392156","1.0","0.7777777777777778","0.8750000000000001","1401","0:00:11.559","0.9348640852390853","-1"
"7_2_85_dbpedia_forbes","dbpedia","forbes","7","0.85","2","0.9723756906077348","0.8712871287128713","0.9190600522193211","1.0","0.9714285714285714","0.9855072463768115","751","0:01:35.359","0.936183715643728","-1"
"7_2_85_dbpedia_dw","dbpedia","dw","7","0.85","2","0.9840954274353877","0.8967391304347826","0.9383886255924171","0.9782608695652174","0.8910891089108911","0.9326424870466321","606","0:01:28.775","0.9367308197128408","-1"
"7_2_85_dw_forbes","dw","forbes","7","0.85","2","0.9848484848484849","0.896551724137931","0.9386281588447654","1.0","0.8888888888888888","0.9411764705882353","1468","0:00:40.418","0.9348640852390853","-1"
"1_3_85_dbpedia_forbes","dbpedia","forbes","1","0.85","3","0.9878787878787879","0.806930693069307","0.888283378746594","0.9642857142857143","0.7714285714285715","0.8571428571428572","739","0:00:14.905","0.9438735275883448","-1"
"1_3_85_dbpedia_dw","dbpedia","dw","1","0.85","3","0.9433198380566802","0.8442028985507246","0.8910133843212237","0.9222222222222223","0.8217821782178217","0.869109947643979","691","0:00:14.199","0.9437239829366302","-1"
"1_3_85_dw_forbes","dw","forbes","1","0.85","3","0.9836065573770492","0.8275862068965517","0.8988764044943819","1.0","0.8148148148148148","0.8979591836734693","1467","0:00:06.289","0.9423069126819127","-1"
"2_3_85_dbpedia_forbes","dbpedia","forbes","2","0.85","3","1.0","0.5396039603960396","0.7009646302250804","1.0","0.5142857142857142","0.6792452830188679","530","0:00:14.639","0.9438735275883448","-1"
"2_3_85_dbpedia_dw","dbpedia","dw","2","0.85","3","1.0","0.7336956521739131","0.8463949843260188","1.0","0.7128712871287128","0.8323699421965318","477","0:00:14.024","0.9437239829366302","-1"
"2_3_85_dw_forbes","dw","forbes","2","0.85","3","1.0","0.7724137931034483","0.8715953307392996","1.0","0.7777777777777778","0.8750000000000001","1405","0:00:05.929","0.9423069126819127","-1"
"3_3_85_dbpedia_forbes","dbpedia","forbes","3","0.85","3","0.9644970414201184","0.806930693069307","0.8787061994609165","0.9642857142857143","0.7714285714285715","0.8571428571428572","747","0:00:09.974","0.9438735275883448","-1"
"3_3_85_dbpedia_dw","dbpedia","dw","3","0.85","3","0.9343936381709742","0.8514492753623188","0.8909952606635071","0.9230769230769231","0.8316831683168316","0.8749999999999999","706","0:00:09.802","0.9437239829366302","-1"
"3_3_85_dw_forbes","dw","forbes","3","0.85","3","0.9144736842105263","0.9586206896551724","0.936026936026936","0.9629629629629629","0.9629629629629629","0.9629629629629629","1502","0:00:04.183","0.9423069126819127","-1"
"4_3_85_dbpedia_forbes","dbpedia","forbes","4","0.85","3","0.9644970414201184","0.806930693069307","0.8787061994609165","0.9642857142857143","0.7714285714285715","0.8571428571428572","747","0:00:10.530","0.9438735275883448","-1"
"4_3_85_dbpedia_dw","dbpedia","dw","4","0.85","3","0.9343936381709742","0.8514492753623188","0.8909952606635071","0.9230769230769231","0.8316831683168316","0.8749999999999999","706","0:00:09.654","0.9437239829366302","-1"
"4_3_85_dw_forbes","dw","forbes","4","0.85","3","0.9144736842105263","0.9586206896551724","0.936026936026936","0.9629629629629629","0.9629629629629629","0.9629629629629629","1502","0:00:04.066","0.9423069126819127","-1"
"5_3_85_dbpedia_forbes","dbpedia","forbes","5","0.85","3","0.9878787878787879","0.806930693069307","0.888283378746594","0.9642857142857143","0.7714285714285715","0.8571428571428572","740","0:00:26.215","0.9438735275883448","-1"
"5_3_85_dbpedia_dw","dbpedia","dw","5","0.85","3","0.9433198380566802","0.8442028985507246","0.8910133843212237","0.9222222222222223","0.8217821782178217","0.869109947643979","691","0:00:23.055","0.9437239829366302","-1"
"5_3_85_dw_forbes","dw","forbes","5","0.85","3","0.9761904761904762","0.8482758620689655","0.9077490774907749","1.0","0.8148148148148148","0.8979591836734693","1471","0:00:09.667","0.9423069126819127","-1"
"6_3_85_dbpedia_forbes","dbpedia","forbes","6","0.85","3","1.0","0.5445544554455446","0.7051282051282052","1.0","0.5714285714285714","0.7272727272727273","556","0:00:26.085","0.9438735275883448","-1"
"6_3_85_dbpedia_dw","dbpedia","dw","6","0.85","3","1.0","0.7554347826086957","0.8606811145510835","1.0","0.7326732673267327","0.8457142857142858","499","0:00:25.685","0.9437239829366302","-1"
"6_3_85_dw_forbes","dw","forbes","6","0.85","3","1.0","0.7586206896551724","0.8627450980392156","1.0","0.7777777777777778","0.8750000000000001","1401","0:00:10.401","0.9423069126819127","-1"
"7_3_85_dbpedia_forbes","dbpedia","forbes","7","0.85","3","0.9723756906077348","0.8712871287128713","0.9190600522193211","1.0","0.9714285714285714","0.9855072463768115","747","0:01:29.789","0.9438735275883448","-1"
"7_3_85_dbpedia_dw","dbpedia","dw","7","0.85","3","0.988","0.894927536231884","0.9391634980988594","0.989010989010989","0.8910891089108911","0.9375","594","0:01:23.053","0.9437239829366302","-1"
"7_3_85_dw_forbes","dw","forbes","7","0.85","3","0.9848484848484849","0.896551724137931","0.9386281588447654","1.0","0.8888888888888888","0.9411764705882353","1464","0:00:35.863","0.9423069126819127","-1"
"1_4_85_dbpedia_forbes","dbpedia","forbes","1","0.85","4","0.9878787878787879","0.806930693069307","0.888283378746594","0.9642857142857143","0.7714285714285715","0.8571428571428572","727","0:00:15.292","0.9438792105806985","-1"
"1_4_85_dbpedia_dw","dbpedia","dw","1","0.85","4","0.9433198380566802","0.8442028985507246","0.8910133843212237","0.9222222222222223","0.8217821782178217","0.869109947643979","681","0:00:14.227","0.94377962062401","-1"
"1_4_85_dw_forbes","dw","forbes","1","0.85","4","0.9836065573770492","0.8275862068965517","0.8988764044943819","1.0","0.8148148148148148","0.8979591836734693","1462","0:00:06.038","0.9419495841995842","-1"
"2_4_85_dbpedia_forbes","dbpedia","forbes","2","0.85","4","1.0","0.5396039603960396","0.7009646302250804","1.0","0.5142857142857142","0.6792452830188679","530","0:00:14.520","0.9438792105806985","-1"
"2_4_85_dbpedia_dw","dbpedia","dw","2","0.85","4","1.0","0.7336956521739131","0.8463949843260188","1.0","0.7128712871287128","0.8323699421965318","477","0:00:13.739","0.94377962062401","-1"
"2_4_85_dw_forbes","dw","forbes","2","0.85","4","1.0","0.7724137931034483","0.8715953307392996","1.0","0.7777777777777778","0.8750000000000001","1405","0:00:05.789","0.9419495841995842","-1"
